KM817623,Wuhan Mosquito Virus 4 strain XC3-4 PB1 (PB1),Wuhan Mosquito Virus 4,832,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817624,Wuhan Mosquito Virus 5 strain XC1-7 PB1 (PB1),Wuhan Mosquito Virus 5,832,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817625,Wuhan Mosquito Virus 6 strain QN3-6 PB1 (PB1),Wuhan Mosquito Virus 6,811,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817626,Wuhan Mosquito Virus 7 strain XC1-5 PB1 (PB1),Wuhan Mosquito Virus 7,798,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817627,Wuhan Mothfly Virus strain WHDL03 PB1 (PB1),Wuhan Mothfly Virus,715,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Orthomyxoviridae; Quaranjavirus; unclassified Quaranjavirus,,,,,,,,,,
KM817628,"Wuchang Cockraoch Virus 2 strain WCZL-3 PB1 (PB1), partial cds",Wuchang Cockroach Virus 2,375,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817629,"Bole Tick Virus 2 strain BL076 nucleocapsid (N), putative phosphoprotein (ORF2), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Bole Tick Virus 2,3947,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817630,"Huangpi Tick Virus 3 strain H124-2 nucleocapsid (N), putative phosphoprotein (ORF2), putative matrix protein (ORF3), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Huangpi Tick Virus 3,4389,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817631,"Jingshan Fly Virus 2 strain JSY-4 RNA-dependent RNA polymerase (L), partial cds",Jingshan Fly Virus 2,2283,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817632,"Lishi Spider Virus 2 strain LSZZ-4 ORF1 (ORF1), ORF2 (ORF2), and RNA-dependent RNA polymerase (L)s",Lishi Spider Virus 2,3308,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; unassigned Mononegavirales,,,,,,,,,,
KM817633,"Sanxia Water Strider Virus 4 strain SXSSP12 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Sanxia Water Strider Virus 4,4310,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817634,"Sanxia Water Strider Virus 5 strain SXSSP11 nucleocapsid (N), ORF2 (ORF2), ORF3 (ORF3), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Sanxia Water Strider Virus 5,4326,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817635,"Shayang Fly Virus 2 strain SYY1-8 nucleocapsid (N), ORF2 (ORF2), X protein (X), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Shayang Fly Virus 2,4097,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817636,"Shayang Fly Virus 3 strain SYY1-1 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Shayang Fly Virus 3,5154,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817637,"Shuangao Bedbug Virus 2 strain SACC-1 ORF1 (ORF1), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Shuangao Bedbug Virus 2,3641,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817638,"Shuangao Fly Virus 2 strain QSA05 RNA-dependent RNA polymerase (L), partial cds",Shuangao Fly Virus 2,2091,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817639,"Shuangao Insect Virus 6 strain QSA10 RNA-dependent RNA polymerase (L), partial cds",Shuangao Insect Virus 6,2089,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817640,Tacheng Tick Virus 3 strain TC255 ORF1 (ORF1) and RNA-dependent RNA polymerase (L)s,Tacheng Tick Virus 3,2894,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817641,"Tacheng Tick Virus 6 strain TCRP-2 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), and RNA-dependent RNA polymerase (L)s",Tacheng Tick Virus 6,3595,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817642,"Tacheng Tick Virus 7 strain TCRP-3 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), ORF4 (ORF4), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Tacheng Tick Virus 7,4469,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817643,"Taishun Tick Virus strain BL198 nucleocapsid (N), ORF2 (ORF2), and RNA-dependent RNA polymerase (L)s",Taishun Tick Virus,3760,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817644,"Wenzhou Crab Virus 1 strain RBX2 nucleocapsid (N), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wenzhou Crab Virus 1,3197,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; unassigned Mononegavirales,,,,,,,,,,
KM817645,Wuhan Ant Virus strain WHMY02 RNA-dependent RNA polymerase (L),Wuhan Ant Virus,2400,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817646,"Wuhan Fly Virus 2 strain SYY1-3 nucleocapsid (N), ORF2 (ORF2), X protein (X), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wuhan Fly Virus 2,4082,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817647,Wuhan Fly Virus 3 strain SYY2-5 RNA-dependent RNA polymerase (L),Wuhan Fly Virus 3,2595,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817648,"Wuhan House Fly Virus 1 strain SYY2-4 nucleocapsid (N), putative phosphoprotein (ORF2), putative X protein (ORF3), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wuhan House Fly Virus 1,4217,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817649,"Wuhan House Fly Virus 2 strain SYY4-5 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wuhan House Fly Virus 2,4910,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817650,"Wuhan Insect virus 4 strain YCYC03 nucleocapsid (N), phosphoprotein (P), 4b protein (4b), putative matrix protein (ORF4), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wuhan Insect virus 4,4496,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Cytorhabdovirus; unclassified Cytorhabdovirus,,,,,,,,,,
KM817651,"Wuhan Insect virus 5 strain YCYC02 nucleocapsid (N), phosphoprotein (P), 4b protein (4b), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wuhan Insect virus 5,4244,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Cytorhabdovirus; unclassified Cytorhabdovirus,,,,,,,,,,
KM817652,"Wuhan Insect virus 6 strain SXCC01-1 nucleocapsid (N), phosphoprotein (P), 4b protein (4b), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wuhan Insect virus 6,4730,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; Cytorhabdovirus; unclassified Cytorhabdovirus,,,,,,,,,,
KM817653,"Wuhan Insect virus 7 strain WHYC02 nucleocapsid (N), putative phosphoprotein (ORF2), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wuhan Insect virus 7,3721,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817654,"Wuhan Louse Fly Virus 5 strain BFJSC-5 nucleocapsid (N), phosphoprotein (P), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wuhan Louse Fly Virus 5,3701,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817655,Wuhan Louse Fly Virus 8 strain BFJSC-6 RNA-dependent RNA polymerase (L),Wuhan Louse Fly Virus 8,2217,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817656,"Wuhan Louse Fly Virus 9 strain BFJSC-7 nucleocapsid (N), putative phosphoprotein (ORF2), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wuhan Louse Fly Virus 9,3790,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817657,"Wuhan Louse Fly Virus 10 strain BFJSC-8 nucleocapsid (N), putative phosphoprotein (ORF2), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Wuhan Louse Fly Virus 10,3847,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817658,Wuhan Louse Fly Virus 11 strain BFJSC-9 RNA-dependent RNA polymerase (L),Wuhan Louse Fly Virus 11,2278,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817659,"Wuhan Mosquito Virus 9 strain JX1-13 ORF1 (ORF1), ORF2 (ORF2), ORF3 (ORF3), glycoprotein (G), and RNA-dependent RNA polymerasess",Wuhan Mosquito Virus 9,4568,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817660,"Wuhan Tick Virus 1 strain X78-2 nucleocapsid (N), ORF2 (ORF2), ORF3 (ORF3), and RNA-dependent RNA polymerase (L)s",Wuhan Tick Virus 1,3435,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817661,"Xincheng Mosquito Virus strain XC1-6 ORF1 (ORF1), ORF2 (ORF2), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Xincheng Mosquito Virus,4258,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; unassigned Mononegavirales,,,,,,,,,,
KM817662,"Yongjia Tick Virus 2 strain YJ1-2 nucleocapsid (N), putative phosphoprotein (ORF2), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L)s",Yongjia Tick Virus 2,3611,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817663,Wuhan Louse Fly Virus 1 strain BFJSC-10 RNA-dependent RNA polymerase (L),Wuhan Louse Fly Virus 1,2262,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Orthobunyavirus; unclassified Orthobunyavirus,,,,,,,,,,
KM817664,Bole Tick Virus 1 strain BL075 RNA-dependent RNA polymerase (L),Bole Tick Virus 1,2161,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus; unclassified Phlebovirus,,,,,,,,,,
KM817665,Changping Tick Virus 1 strain CP1-2 RNA-dependent RNA polymerase (L),Changping Tick Virus 1,2212,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus; unclassified Phlebovirus,,,,,,,,,,
KM817666,Dabieshan Tick Virus strain D3 RNA-dependent RNA polymerase (L),Dabieshan Tick Virus,2183,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus; unclassified Phlebovirus,,,,,,,,,,
KM817667,Huangpi Tick Virus 1 strain H124-1 RNA-dependent RNA polymerase (L),Huangpi Tick Virus 1,3941,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817669,Huangshi Humpbacked Fly Virus strain HSCC01-1 RNA-dependent RNA polymerase (L),Huangshi Humpbacked Fly Virus,2018,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817670,Jiangxia Mosquito Virus 1 strain JX1-12 RNA-dependent RNA polymerase (L),Jiangxia Mosquito Virus 1,1918,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817671,Jiangxia Mosquito Virus 2 strain JX1-14 RNA-dependent RNA polymerase (L),Jiangxia Mosquito Virus 2,1866,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817672,Lihan Tick Virus strain LH-1 RNA-dependent RNA polymerase (L),Lihan Tick Virus,2172,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus; unclassified Phlebovirus,,,,,,,,,,
KM817673,Qingnian Mosquito Virus strain QN3-7 RNA-dependent RNA polymerase (L),Qingnian Mosquito Virus,2348,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817674,Sanxia Water Strider Virus 1 strain SXSSP08 RNA-dependent RNA polymerase (L),Sanxia Water Strider Virus 1,4076,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817675,Sanxia Water Strider Virus 2 strain SXSSP02 RNA-dependent RNA polymerase (L),Sanxia Water Strider Virus 2,2383,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817676,Shayang Spider Virus 1 strain SYZZ-4 RNA-dependent RNA polymerase (L),Shayang Spider Virus 1,4495,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817677,Shayang Spider Virus 2 strain SYZZ-3 RNA-dependent RNA polymerase (L),Shayang Spider Virus 2,2215,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817678,Shuangao Bedbug Virus 1 strain HKCC-1 RNA-dependent RNA polymerase (L),Shuangao Bedbug Virus 1,2028,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Rhabdoviridae; unclassified Rhabdoviridae,,,,,,,,,,
KM817679,Shuangao Insect Virus 1 strain QSA02 RNA-dependent RNA polymerase (L),Shuangao Insect Virus 1,2441,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817680,"Shuangao Insect Virus 2 strain QSA03 RNA-dependent RNA polymerase (L), partial cds",Shuangao Insect Virus 2,1633,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817681,Shuangao Insect Virus 3 strain QSA04 RNA-dependent RNA polymerase (L),Shuangao Insect Virus 3,2092,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817682,"Shuangao Mosquito Virus strain WSA02 RNA-dependent RNA polymerase (L), partial cds",Shuangao Mosquito Virus,2047,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817683,Tacheng Tick Virus 1 strain TC253 RNA-dependent RNA polymerase (L),Tacheng Tick Virus 1,4061,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817684,Tacheng Tick Virus 2 strain TC252 RNA-dependent RNA polymerase (L),Tacheng Tick Virus 2,2219,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus; unclassified Phlebovirus,,,,,,,,,,
KM817685,Wenzhou Tick Virus strain TS1-2 RNA-dependent RNA polymerase (L),Wenzhou Tick Virus,4024,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817686,Whenzhou Shrimp Virus 1 strain BJDX-5 RNA-dependent RNA polymerase (L),Wenzhou Shrimp Virus 1,2094,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817687,Whenzhou Shrimp Virus 2 strain BJDX-1 RNA-dependent RNA polymerase (L),Whenzhou Shrimp Virus 2,2291,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817688,Wuchang Cockraoch Virus 1 strain WCZL-5 RNA-dependent RNA polymerase (L),Wuchang Cockroach Virus 1,2164,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817689,Wuhan Fly Virus 1 strain SYY1-9 RNA-dependent RNA polymerase (L),Wuhan Fly Virus 1,2259,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817690,Wuhan horsefly Virus strain JJ2-1 RNA-dependent RNA polymerase (L),Wuhan horsefly Virus,3183,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817691,Wuhan Insect virus 1 strain WHYC03 RNA-dependent RNA polymerase (L),Wuhan Insect virus 1,2173,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817692,Wuhan Insect virus 2 strain WHDL02 RNA-dependent RNA polymerase (L),Wuhan Insect virus 2,2414,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817693,Wuhan Insect virus 3 strain WHYC05 RNA-dependent RNA polymerase (L),Wuhan Insect virus 3,2247,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817694,"Wuhan Louse Fly Virus 2 strain BFJSC-11 RNA-dependent RNA polymerase (L), partial cds",Wuhan Louse Fly Virus 2,2360,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817695,Wuhan Millipede Virus 1 strain WHWG04 RNA-dependent RNA polymerase (L),Wuhan Millipede Virus 1,1887,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817696,Wuhan Millipede Virus 2 strain WHWG03 RNA-dependent RNA polymerase (L),Wuhan Millipede Virus 2,3854,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817697,Wuhan Mosquito Virus 1 strain WT3-15 RNA-dependent RNA polymerase (L),Wuhan Mosquito Virus 1,2158,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817698,Wuhan Mosquito Virus 2 strain QN2-7 RNA-dependent RNA polymerase (L),Wuhan Mosquito Virus 2,2191,Viruses; ssRNA viruses; ssRNA negative-strand viruses; unclassified ssRNA negative-strand viruses,,,,,,,,,,
KM817699,Wuhan Spider Virus strain SYZZ-2 RNA-dependent RNA polymerase (L),Wuhan Spider Virus,2290,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817700,Wutai Mosquito Virus strain QN3-5 RNA-dependent RNA polymerase (L),Wutai Mosquito Virus,2251,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817701,Xinzhou Mosquito Virus strain XC3-5 RNA-dependent RNA polymerase (L),Xinzhou Mosquito Virus,2120,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817702,Xinzhou Spider Virus strain XZZZ-2 RNA-dependent RNA polymerase (L),Xinzhou Spider Virus,4112,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817703,Yichang Insect virus strain YCYC01 RNA-dependent RNA polymerase (L),Yichang Insect virus,2140,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817704,Yongjia Tick Virus 1 strain YJ1-1 RNA-dependent RNA polymerase (L),Yongjia Tick Virus 1,2175,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; Phlebovirus; unclassified Phlebovirus,,,,,,,,,,
KM817705,Zhee Mosquito virus strain XC1-8 RNA-dependent RNA polymerase (L),Zhee Mosquito virus,2534,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
KM817706,Huangpi Tick Virus 1 strain H124-1 glycoprotein precursor (G),Huangpi Tick Virus 1,1558,Viruses; ssRNA viruses; ssRNA negative-strand viruses; Bunyaviridae; unclassified Bunyaviridae,,,,,,,,,,
